search URL:,https://patents.google.com/?q=%22digital+identity%22&before=priority:20091231&after=priority:20050101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021286868-A1,Method For Providing An Authenticated Digital Identity ,James F. Kragh,James F. Kragh,2009-06-03,2021-05-27,2021-09-16,,https://patents.google.com/patent/US20210286868A1/en,https://patentimages.storage.googleapis.com/d0/65/ec/e39ed67babeae4/US20210286868A1-20210916-D00000.png
US-8104074-B2,Identity providers in digital identity system ,Microsoft Corporation,"Kim Cameron, Arun K. Nanda",2006-02-24,2006-02-24,2012-01-24,2012-01-24,https://patents.google.com/patent/US8104074B2/en,https://patentimages.storage.googleapis.com/e9/98/63/0450cb7078802e/US08104074-20120124-D00000.png
EP-2108146-B1,Controlling distribution and use of digital identity representations ,"Microsoft Technology Licensing, LLC","John Shewchuk, Kim Cameron, Arun Nanda, Xiao Xie",2007-01-26,2008-01-23,2018-07-25,2018-07-25,https://patents.google.com/patent/EP2108146B1/en,https://patentimages.storage.googleapis.com/a6/5b/38/945857de7bdf5f/imgf0001.png
US-8087072-B2,Provisioning of digital identity representations ,Microsoft Corporation,"Vijay K. Gajjala, Colin H. Brace, Derek T. Del Conte, Kim Cameron, Arun K. Nanda, Hervey O. Wilson, Stuart L. S. Kwan, Rashmi Raj, Vijayavani Nori",2007-01-18,2007-09-17,2011-12-27,2011-12-27,https://patents.google.com/patent/US8087072B2/en,https://patentimages.storage.googleapis.com/1b/45/c0/cc2e4f7a6b7c88/US08087072-20111227-D00000.png
US-9213992-B2,Secure online transactions using a trusted digital identity ,"Microsoft Technology Licensing, Llc",David J. Steeves,2005-07-08,2005-07-08,2015-12-15,2015-12-15,https://patents.google.com/patent/US9213992B2/en,https://patentimages.storage.googleapis.com/c7/ae/77/c23e97319cedb7/US09213992-20151215-D00000.png
EP-2115607-B1,Provisioning of digital identity representations ,"Microsoft Technology Licensing, LLC","Vijay K. Gajjala, Colin H. Brace, Derek T. Del Conte, Arun K. Nanda, Stuart L.S. Kwan, Rashmi Raj, Vijayavani Nori",2007-01-18,2008-01-04,2016-10-12,2016-10-12,https://patents.google.com/patent/EP2115607B1/en,https://patentimages.storage.googleapis.com/66/69/14/b975e7353af35d/imgf0001.png
US-8881253-B2,Method and apparatus for accepting a digital identity of a user based on transitive trust among parties ,Symantec Corporation,"Sourabh Satish, Brian Hernacki",2007-03-28,2007-03-28,2014-11-04,2014-11-04,https://patents.google.com/patent/US8881253B2/en,https://patentimages.storage.googleapis.com/0d/f3/4b/05fc8c32fdc4b2/US08881253-20141104-D00000.png
US-2009248623-A1,Accessing digital identity related reputation data ,"The Go Daddy Group, Inc.","Warren Adelman, Michael Chadwick",2007-05-09,2009-06-10,2009-10-01,,https://patents.google.com/patent/US20090248623A1/en,https://patentimages.storage.googleapis.com/87/b2/7b/a89520ac7cd123/US20090248623A1-20091001-D00000.png
EP-2474936-A1,"Product identity digital identification apparatus, inspection apparatus, product and anti-counterfeiting inspection method ","Shenzhen Joinl Technology Co., Ltd",Kaisheng Li,2009-03-04,2010-02-10,2012-07-11,,https://patents.google.com/patent/EP2474936A1/en,https://patentimages.storage.googleapis.com/1c/7e/44/7211cade59b422/imgf0001.png
US-8321918-B2,Apparatus and method for sharing user control enhanced digital identity ,Electronics And Telecommunications Research Institute,"Sangrae Cho, Youngseob Cho, Jonghyouk Noh, Daeseon Choi, Soohyung Kim, Seunghyun Kim, Seunghun Jin",2007-12-21,2008-12-09,2012-11-27,2012-11-27,https://patents.google.com/patent/US8321918B2/en,https://patentimages.storage.googleapis.com/a5/da/3b/54283dfa5643f3/US08321918-20121127-D00000.png
JP-2008282388-A,Method and device for managing digital identity through single interface ,"Symantec Corp, シマンテック コーポレイション","Sourabh Satish, サティッシュ ソウラブ, Brian Hernacki, ハーネキー ブライアン",2007-04-10,2008-03-10,2008-11-20,,https://patents.google.com/patent/JP2008282388A/en,https://patentimages.storage.googleapis.com/c9/c8/75/c8ef3ea2b30be6/2008282388-3.png
CA-2697964-A1,"Methods and systems for building, managing and sharing a digital identity of a user over a social network ","Shopmedia Inc., Jean Ourega Dobey",Jean Ourega Dobey,2009-03-26,2010-03-26,2010-09-26,,https://patents.google.com/patent/CA2697964A1/en,
DE-102008042262-A1,"Method for storing data for managing digital identity of user, involves writing data from provider computer system to token via connection to store data in token, and providing connections with connection-oriented protocol ",Bundesdruckerei Gmbh,"Jörg Fischer, Frank Dietrich, Manfred Dr. Paeschke",2008-09-22,2008-09-22,2010-04-08,,https://patents.google.com/patent/DE102008042262A1/en,
US-2009217362-A1,Selectively provisioning clients with digital identity representations ,Microsoft Corporation,"Arun K. Nanda, Hervey Wilson, Dan Guberman, Vijay K. Gajjala, Raman Chikkamagalur, Oren Melzer",2007-01-18,2009-04-29,2009-08-27,,https://patents.google.com/patent/US20090217362A1/en,https://patentimages.storage.googleapis.com/71/e2/6a/67d509b728fdd0/US20090217362A1-20090827-D00000.png
CN-101727644-A,Method and system thereof for accurately positioning network advertisement by commodity digital identity recognition ,兆信(中国)网络科技有限公司,"龙刚, 张韧",2009-12-28,2009-12-28,2010-06-09,,https://patents.google.com/patent/CN101727644A/en,https://patentimages.storage.googleapis.com/fd/97/c0/23b66a95003baa/H2009102654108E00011.png
EP-1752902-A1,Digital identity authentication server ,Initialesonline,Samir Koleilat,2005-08-12,2006-08-11,2007-02-14,,https://patents.google.com/patent/EP1752902A1/en,https://patentimages.storage.googleapis.com/8f/5c/25/7230a44fde2975/imgf0001.png
DE-102008042582-A1,"Method for storing data for managing digital identity of user, involves writing data from provider computer system to token via connection to store data in token, and providing connections with connection-oriented protocol ",Bundesdruckerei Gmbh,"Frank Dietrich, Manfred Dr. Paeschke, Robert Fiedler",2008-10-02,2008-10-02,2010-04-08,,https://patents.google.com/patent/DE102008042582A1/en,
CN-101584148-B,Provisioning of digital identity representations ,微软公司,"V·K·盖奇加拉, C·H·布雷斯, D·T·德尔康特, K·卡梅隆, A·K·纳恩达, H·O·威尔逊, S·L·S·夸恩, R·拉贾, V·诺瑞",2007-01-18,2008-01-04,2014-08-20,2014-08-20,https://patents.google.com/patent/CN101584148B/en,
CN-101833615-A,Digital resource authority control method based on identity federation ,上海盈哲信息科技有限公司,王忱,2009-03-10,2009-03-10,2010-09-15,,https://patents.google.com/patent/CN101833615A/en,https://patentimages.storage.googleapis.com/46/9f/07/0d126f33a6b4b3/H2009100473254E0000011.png
IT-RM20050113-U1,"IMAGE ACQUISITION PROCESS OR IMAGE SEQUENCE THAT GIVES IT AUTHENTICITY AND AUTHENTICATION THROUGH PERFORMANCES OF GEOLOCALIZATION, DIGITAL IDENTITY AND SIGNATURE ALGORITHMS AND ENCRYPTION. ","Romualdo Lodovici, Vincenzo Pirottina, Piergiorgio Sabatini, Riccardo Sabatini","Romualdo Lodovici, Vincenzo Pirottina, Piergiorgio Sabatini, Riccardo Sabatini",2005-09-06,2005-09-06,2007-03-07,,https://patents.google.com/patent/ITRM20050113U1/en,
DE-102008013082-A1,Method and arrangement for adopting a digital user identity based on transitive trust between parties ,"Symantec Corporation, Cupertino","Sourabh Fremont Satish, Brian San Carlos Hernacki",2007-03-28,2008-03-07,2008-11-20,,https://patents.google.com/patent/DE102008013082A1/en,
BR-PI0700373-A,"digital identity card and digital payment card incorporating personally identifiable data, financial, business and other transactions ",Jorge Higino De Queiroz Jr,Jorge Higino De Queiroz,2007-01-22,2007-01-22,2008-09-09,,https://patents.google.com/patent/BRPI0700373A/en,
BR-PI0904335-A2,system and method for verifying identity and creating a digital record of individual identification by biological standards ,"Associacao Pro Ensino Em Santa Cruz Do Sul Apesc, Tecniagro Certificacoes E Sist S Agropecuarios Ltda","Eloisa Marciana Kolberg Theisen, Silva Silon Procath Da Jr, Kurt Werner Molz, Daniel Andre Klinger, Rolf Fredi Molz, Ruben Edgard Panta Pazos",2009-10-20,2009-10-20,2011-06-28,,https://patents.google.com/patent/BRPI0904335A2/en,
CN-102045164-A,Key exposure free chameleon digital signature method based on ID (Identity) ,广州信睿网络科技有限公司,"陈晓峰, 田海博, 张方国, 陈满祥",2009-10-20,2009-10-20,2011-05-04,,https://patents.google.com/patent/CN102045164A/en,https://patentimages.storage.googleapis.com/b4/8d/a4/546b4cfd5febcf/H2009101932017E0000011.png
EP-2332114-B1,"Form filling with digital identities, and automatic password generation ","Microsoft Technology Licensing, LLC","Tariq Sharif, Arun K. Nanda, Roberto A. Franco, Richard Randall",2008-08-08,2009-07-28,2018-08-22,2018-08-22,https://patents.google.com/patent/EP2332114B1/en,https://patentimages.storage.googleapis.com/b5/ca/d5/3502e95cd0c3ee/imgf0001.png
US-9882728-B2,Identity-based certificate management ,Secureauth Corporation,"Garret Florian Grajek, Jeffrey Chiwai Lo, Mark V. Lambiase",2009-04-07,2016-09-28,2018-01-30,2018-01-30,https://patents.google.com/patent/US9882728B2/en,https://patentimages.storage.googleapis.com/1f/72/b7/2e21c402d49153/US09882728-20180130-D00000.png
US-9015205-B2,Identity management user experience ,"Microsoft Technology Licensing, Llc","Melissa W. Dunn, Marcus Harvey",2005-03-29,2011-09-23,2015-04-21,2015-04-21,https://patents.google.com/patent/US9015205B2/en,https://patentimages.storage.googleapis.com/09/46/a2/7b6de54c6b4d02/US09015205-20150421-D00000.png
US-9769163-B1,System integrating an identity selector and user-portable device and method of use in a user-centric identity management system ,Open Invention Network Llc,Gail-Joon Ahn,2008-05-27,2016-08-01,2017-09-19,2017-09-19,https://patents.google.com/patent/US9769163B1/en,https://patentimages.storage.googleapis.com/49/ea/c7/050aac4b39ca42/US09769163-20170919-D00000.png
US-9805213-B1,Identity validation and verification system and associated methods ,James F. Kragh,James F. Kragh,2009-06-03,2016-02-19,2017-10-31,2017-10-31,https://patents.google.com/patent/US9805213B1/en,https://patentimages.storage.googleapis.com/ac/41/e7/33b7c573eab42d/US09805213-20171031-D00000.png
US-8621642-B2,Method and apparatus for an end user identity protection suite ,"Digitalpersona, Inc.","Vance Bjorn, Igor Katkov, Sergey Lipin, Fabio Santini",2008-11-17,2009-11-16,2013-12-31,2013-12-31,https://patents.google.com/patent/US8621642B2/en,https://patentimages.storage.googleapis.com/ee/2e/40/16aacf68ad9147/US08621642-20131231-D00000.png
US-9348409-B2,"System, method and apparatus for controlling multiple applications and services on a digital electronic device ","Ecrio, Inc.","Krishnakumar Narayanan, Venkata T. Gobburu, Srinivasa Upadhya, John Michael Grubbs",2008-02-08,2013-11-25,2016-05-24,2016-05-24,https://patents.google.com/patent/US9348409B2/en,https://patentimages.storage.googleapis.com/0a/e3/73/40dc304e767aa1/US09348409-20160524-D00000.png
EP-2417790-B1,Identity management services provided by network operator ,Alcatel Lucent,"Igor Faynberg, Hui-Lan Lu",2009-04-09,2010-03-18,2020-04-22,2020-04-22,https://patents.google.com/patent/EP2417790B1/en,https://patentimages.storage.googleapis.com/9f/41/f4/ee11c70648fc2c/imgf0001.png
US-10327136-B2,"Method for distributed identification, a station in a network ",Koninklijke Philips N.V.,"Oscar Garcia Morchon, Bozena Erdmann, Josef Heribert BALDUS",2008-04-14,2017-01-23,2019-06-18,2019-06-18,https://patents.google.com/patent/US10327136B2/en,https://patentimages.storage.googleapis.com/4e/14/78/87d98528e91678/US10327136-20190618-D00000.png
US-9781086-B2,System and method for confirming identity and authority by a patient medical device ,"Cardiac Pacemakers, Inc.","George D. Jelatis, Scott J. Healy",2007-03-29,2012-12-28,2017-10-03,2017-10-03,https://patents.google.com/patent/US9781086B2/en,https://patentimages.storage.googleapis.com/ae/fb/d1/20eeab5ef0effb/US09781086-20171003-D00000.png
US-2017070698-A1,Apparatus And Method For Remote Wireless Control Of Digital Video Recorders And The Like ,Time Warner Cable Enterprises Llc,"Vaibhav Parmar, Michael Frey, Melissa Price, Khurram P. Sheikh",2007-08-22,2016-08-19,2017-03-09,,https://patents.google.com/patent/US20170070698A1/en,https://patentimages.storage.googleapis.com/34/df/98/6b09b0b1818a8a/US20170070698A1-20170309-D00000.png
US-10034040-B2,Apparatus and method for remote control of digital video recorders and the like ,Time Warner Cable Enterprises Llc,"Christopher Marsh, Jay Thomas, William Webb, David Bell",2007-08-22,2015-07-13,2018-07-24,2018-07-24,https://patents.google.com/patent/US10034040B2/en,https://patentimages.storage.googleapis.com/e0/13/ca/b3f4a736b830b2/US10034040-20180724-D00000.png
JP-5175288-B2,Digital rights management function for peer-to-peer digital content distribution ,マイクロソフト  コーポレーション,"ハブソン，ライアン・エイ, モリス，マックス・ジー, ディヴィス，ダレン・アール, ヴァン・ホーフ，ヒューバート, ラウ，ケビン, ヒルドレス，ロバート, ストローム，クリフォード・ピー, プレッテ，スコット, マッケルベイ，アレックス, ブローズ，デレク",2006-09-07,2007-08-30,2013-04-03,2013-04-03,https://patents.google.com/patent/JP5175288B2/en,https://patentimages.storage.googleapis.com/cd/a7/2e/76c39b0494338a/0005175288-2.png
US-8327450-B2,Digital safety deposit box ,Wells Fargo Bank N.A.,"Steven D. Clement, Michael Thomas Duke",2007-07-19,2007-07-19,2012-12-04,2012-12-04,https://patents.google.com/patent/US8327450B2/en,https://patentimages.storage.googleapis.com/ab/b8/60/8d64033f79a7c6/US08327450-20121204-D00000.png
US-2017132631-A1,System and method for user identity validation for online transactions ,Gula Consulting Limited Liability Company,Michael J. Schultz,2006-10-31,2016-08-09,2017-05-11,,https://patents.google.com/patent/US20170132631A1/en,https://patentimages.storage.googleapis.com/fa/71/e1/90686c6023cca2/US20170132631A1-20170511-D00000.png
US-7571473-B1,Identity management system and method ,Sprint Communications Company L.P.,"Kenneth C. Boydstun, Stephen W Grimm, Steven R. Hentzen",2005-06-10,2005-06-10,2009-08-04,2009-08-04,https://patents.google.com/patent/US7571473B1/en,https://patentimages.storage.googleapis.com/8b/47/2f/2bb1ae6b21a7a5/US07571473-20090804-D00000.png
US-8117459-B2,Personal identification information schemas ,Microsoft Corporation,"Kim Cameron, Arun K. Nanda",2006-02-24,2006-07-28,2012-02-14,2012-02-14,https://patents.google.com/patent/US8117459B2/en,https://patentimages.storage.googleapis.com/dc/84/00/bf3e19abb71c77/US08117459-20120214-D00000.png
US-10136172-B2,Apparatus and methods for content delivery and message exchange across multiple content delivery networks ,Time Warner Cable Enterprises Llc,"Gary Cronk, Jonathan Putsch, James Boutilier, Paul L. Miller, Michael Dillon",2008-11-24,2015-09-22,2018-11-20,2018-11-20,https://patents.google.com/patent/US10136172B2/en,https://patentimages.storage.googleapis.com/da/0a/87/b283243c1969a8/US10136172-20181120-D00000.png
US-7992194-B2,Methods and apparatus for identity and role management in communication networks ,International Business Machines Corporation,"Suresh Damodaran, Greg Leitheiser",2006-03-14,2006-03-14,2011-08-02,2011-08-02,https://patents.google.com/patent/US7992194B2/en,https://patentimages.storage.googleapis.com/4e/28/d9/ae1d77ede313ce/US07992194-20110802-D00000.png
US-9887971-B2,Method and apparatus for secure energy delivery ,Trusted Renewables Limited,"Colin Thomas Mallett, Piotr Cofta",2009-01-06,2016-10-26,2018-02-06,2018-02-06,https://patents.google.com/patent/US9887971B2/en,https://patentimages.storage.googleapis.com/44/39/1b/7104ab22a5a42b/US09887971-20180206-D00000.png
