search URL:,https://patents.google.com/?q=%22digital+identity%22&before=priority:20231231&after=priority:20200101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-112580102-A,Multi-dimensional digital identity authentication system based on block chain ,郑州大学,"王飞, 刘炯天, 王忠勇, 陈红杰, 田权奎, 张志鸿, 王振飞, 陈宝辉, 王毅",2020-12-29,2020-12-29,2021-03-30,,https://patents.google.com/patent/CN112580102A/en,https://patentimages.storage.googleapis.com/87/dc/2b/f33cadf5d07e4e/201229162427.png
EP-3852338-B1,"Method and apparatus for verifying digital identity, device and storage medium ",Beijing Baidu Netcom Science And Technology Co. Ltd.,"Hongbin Mao, Siyuan PAN, Junjie Yuan, Haodong CHEN, Hui Wang",2020-01-14,2021-01-14,2023-09-06,2023-09-06,https://patents.google.com/patent/EP3852338B1/en,
AU-2023901254-A0,"Decentralized, Self-Sovereign Digital Identity and Universal Passport System Based on Biometrics and Blockchain Technology ",Awaken Mobile Pty Ltd,Nikola Siljeg,,2023-04-28,2023-05-11,,https://patents.google.com/patent/AU2023901254A0/en,
CN-113271211-B,"Digital identity verification system, method, electronic device and storage medium ",网易（杭州）网络有限公司,王挺,2021-05-18,2021-05-18,2023-03-24,2023-03-24,https://patents.google.com/patent/CN113271211B/en,https://patentimages.storage.googleapis.com/40/7c/d8/c2ef2ebae0a70f/HDA0003072194710000011.png
CN-114944937-A,"Distributed digital identity verification method, system, electronic device and storage medium ",网易（杭州）网络有限公司,"韩少庆, 曹崇瑞, 胡志敏",2022-04-19,2022-04-19,2022-08-26,,https://patents.google.com/patent/CN114944937A/en,https://patentimages.storage.googleapis.com/a3/15/36/ba51e904b507d2/HDA0003603515660000011.png
CN-111488614-A,Digital identity storage method and device based on service data block chain ,北京瑞策科技有限公司,"吉建勋, 杨慧",2020-04-08,2020-04-08,2020-08-04,,https://patents.google.com/patent/CN111488614A/en,https://patentimages.storage.googleapis.com/6d/f8/a3/006871e0690a7f/HDA0002443174970000011.png
CN-114338137-A,"Trusted digital identity secure transmission method, system and storage medium ",深圳市数证通科技有限公司,"林龙, 杨瑷华, 林乐智",2021-12-27,2021-12-27,2022-04-12,,https://patents.google.com/patent/CN114338137A/en,https://patentimages.storage.googleapis.com/09/72/8f/c88b44dd390c73/HDA0003436211870000011.png
CN-112950376-A,Electric power industry digital identity card management method and system based on block chain technology ,广东电网有限责任公司,"曾纪钧, 龙震岳, 温柏坚, 刘晔, 裴求根, 江疆, 陆庭辉, 张金波, 张小陆",2021-03-05,2021-03-05,2021-06-11,,https://patents.google.com/patent/CN112950376A/en,https://patentimages.storage.googleapis.com/23/52/40/11a2df624a93bc/HDA0002963502700000011.png
CN-111787530-A,Block chain digital identity management method based on SIM card ,联通雄安产业互联网有限公司,"白鑫, 周政军, 唐伟东, 石磊, 刘胜杰, 赵国宝",2020-08-06,2020-08-06,2020-10-16,,https://patents.google.com/patent/CN111787530A/en,https://patentimages.storage.googleapis.com/4a/48/15/4cebd4d87d6a2c/HDA0002620146910000011.png
CN-115460019-A,"Method, apparatus, device and medium for providing digital identity-based target application ",中国信息通信研究院,"李瑾, 郭健, 张波",2022-11-10,2022-11-10,2022-12-09,,https://patents.google.com/patent/CN115460019A/en,https://patentimages.storage.googleapis.com/af/66/00/a87a60a3966136/221031101059.png
CN-111770063-B,"Derivation and verification method, device and equipment for digital identity information ",支付宝(杭州)信息技术有限公司,"林渝淇, 杨仁慧, 刘佳伟",2020-02-18,2020-02-18,2022-09-16,2022-09-16,https://patents.google.com/patent/CN111770063B/en,https://patentimages.storage.googleapis.com/c1/ef/70/e912c24b5e40d5/HDA0002522947850000011.png
CN-113704775-A,Service processing method based on distributed digital identity and related device ,杭州溪塔科技有限公司,"王晓亮, 俞之贝",2021-07-14,2021-07-14,2021-11-26,,https://patents.google.com/patent/CN113704775A/en,https://patentimages.storage.googleapis.com/30/4f/64/bba4f1288b1c19/HDA0003163315420000011.png
CN-113065868-A,"Supply chain enterprise financial digital identity management method and system, equipment and medium ",湖南大学,"兰秋军, 贾时雨, 马超群, 周中定, 李信儒, 万丽",2021-04-01,2021-04-01,2021-07-02,,https://patents.google.com/patent/CN113065868A/en,https://patentimages.storage.googleapis.com/21/d2/ad/1dbe4ec3109010/HDA0003002838090000011.png
CN-112528250-A,System and method for realizing data privacy and digital identity through block chain ,上海万向区块链股份公司,李京京,2020-12-17,2020-12-17,2021-03-19,,https://patents.google.com/patent/CN112528250A/en,https://patentimages.storage.googleapis.com/90/bf/a6/1ed1df36234faf/HDA0002843234860000011.png
CN-111625800-A,Digital identity authentication method and system based on in-vivo detection ,光载互联(杭州)科技有限公司,"李骁宇, 张先国, 苑海鑫",2020-06-05,2020-06-05,2020-09-04,,https://patents.google.com/patent/CN111625800A/en,https://patentimages.storage.googleapis.com/18/3b/6a/15e1f79c289870/200605115629.png
CN-113472521-A,"Block chain-based real-name digital identity management method, signature device and verification device ",山东浪潮质量链科技有限公司,"孙长杰, 李照川, 王伟兵, 肖守明, 申传旺",2020-03-30,2020-03-30,2021-10-01,,https://patents.google.com/patent/CN113472521A/en,https://patentimages.storage.googleapis.com/cd/98/10/e4580855168b2a/HDA0002431611040000011.png
